Plot Title: Agat LL (20154265),,,,,,,
#,"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20154265, SEN S/N: 20154265)","Intensity, Lux (LGR S/N: 20154265, SEN S/N: 20154265)",Coupler Attached (LGR S/N: 20154265),Coupler Detached (LGR S/N: 20154265),Stopped (LGR S/N: 20154265),End Of File (LGR S/N: 20154265)
455,12/7/2017 13:40,30.862,22044.6,,,,
456,12/7/2017 13:50,30.963,17222.3,,,,
457,12/7/2017 14:00,30.862,16533.4,,,,
458,12/7/2017 14:10,31.166,34444.7,,,,
459,12/7/2017 14:20,30.862,10677.8,,,,
460,12/7/2017 14:30,30.963,33066.9,,,,
461,12/7/2017 14:40,30.963,11022.3,,,,
462,12/7/2017 14:50,31.064,12400.1,,,,
463,12/7/2017 15:00,30.963,8611.2,,,,
464,12/7/2017 15:10,30.76,8266.7,,,,
465,12/7/2017 15:20,30.76,10677.8,,,,
466,12/7/2017 15:30,30.659,7233.4,,,,
467,12/7/2017 15:40,30.457,6544.5,,,,
468,12/7/2017 15:50,30.558,9300.1,,,,
469,12/7/2017 16:00,30.659,7233.4,,,,
470,12/7/2017 16:10,30.558,4994.5,,,,
471,12/7/2017 16:20,30.457,4133.4,,,,
472,12/7/2017 16:30,30.558,6200,,,,
473,12/7/2017 16:40,30.558,6200,,,,
474,12/7/2017 16:50,30.558,4994.5,,,,
475,12/7/2017 17:00,30.558,3272.2,,,,
476,12/7/2017 17:10,30.457,2755.6,,,,
477,12/7/2017 17:20,30.356,1194.8,,,,
478,12/7/2017 17:30,30.255,807.3,,,,
479,12/7/2017 17:40,30.255,516.7,,,,
480,12/7/2017 17:50,30.154,226,,,,
481,12/7/2017 18:00,29.953,43.1,,,,
482,12/7/2017 18:10,29.853,0,,,,
483,12/7/2017 18:20,29.652,0,,,,
484,12/7/2017 18:30,29.552,0,,,,
485,12/7/2017 18:40,29.452,0,,,,
486,12/7/2017 18:50,29.352,0,,,,
487,12/7/2017 19:00,29.352,0,,,,
488,12/7/2017 19:10,29.252,0,,,,
489,12/7/2017 19:20,29.252,0,,,,
